txn_id,date,time,datetime,amount,type,category,merchant,upi_id,status,note
TXN100039,2025-09-21,05:56:54,2025-09-21T05:56:54,148.13,Debit,Dining,CafeBrew,refund@paytm,Success,Dining payment to CafeBrew
TXN100040,2024-07-08,17:54:58,2024-07-08T17:54:58,30.13,Debit,Groceries,BigMart,salary@hdfc,Pending,Groceries payment to BigMart
TXN100041,2025-02-13,21:36:53,2025-02-13T21:36:53,1320.92,Debit,Health,MediCare,refund@paytm,Success,Health payment to MediCare
TXN100042,2024-03-22,08:14:03,2024-03-22T08:14:03,97.73,Debit,Rent,CityRentals,friend1@oksbi,Success,Rent payment to CityRentals
TXN100043,2025-03-31,08:31:05,2025-03-31T08:31:05,798.07,Debit,Shopping,ShopEasy,shivap@ybl,Success,Shopping payment to ShopEasy
TXN100044,2024-05-13,09:12:31,2024-05-13T09:12:31,651.42,Debit,Rent,CityRentals,merchant@axis,Success,Rent payment to CityRentals
TXN100045,2025-04-10,02:35:11,2025-04-10T02:35:11,1364.42,Debit,Dining,CafeBrew,merchant@axis,Success,Dining payment to CafeBrew
TXN100046,2024-09-02,16:14:52,2024-09-02T16:14:52,524.2,Debit,Utilities,PowerGrid,shivap@ybl,Pending,Utilities payment to PowerGrid
TXN100047,2024-09-28,06:21:42,2024-09-28T06:21:42,1647.11,Debit,Shopping,ShopEasy,grocery@icici,Success,Shopping payment to ShopEasy
TXN100048,2025-09-03,17:20:41,2025-09-03T17:20:41,473.92,Debit,Rent,CityRentals,salary@hdfc,Success,Rent payment to CityRentals
TXN100049,2024-06-10,05:43:35,2024-06-10T05:43:35,1263.2,Credit,Salary,AcmeCorp,shivap@ybl,Success,Salary payment to AcmeCorp
TXN100050,2025-05-08,21:01:43,2025-05-08T21:01:43,476.55,Debit,Entertainment,MovieHub,merchant@axis,Success,Entertainment payment to MovieHub
TXN100051,2024-03-07,14:08:59,2024-03-07T14:08:59,156.08,Debit,Groceries,BigMart,merchant@axis,Success,Groceries payment to BigMart
TXN100052,2025-03-19,10:06:01,2025-03-19T10:06:01,206.34,Debit,Shopping,ShopEasy,grocery@icici,Success,Shopping payment to ShopEasy
TXN100053,2025-06-07,00:04:44,2025-06-07T00:04:44,418.03,Debit,Dining,CafeBrew,shivap@ybl,Success,Dining payment to CafeBrew
TXN100054,2024-04-19,14:45:24,2024-04-19T14:45:24,1006.18,Debit,Groceries,BigMart,friend1@oksbi,Success,Groceries payment to BigMart
TXN100055,2024-11-11,18:13:03,2024-11-11T18:13:03,1598.13,Debit,Dining,CafeBrew,refund@paytm,Success,Dining payment to CafeBrew
TXN100056,2025-03-24,17:15:35,2025-03-24T17:15:35,1433.15,Debit,Dining,CafeBrew,shivap@ybl,Success,Dining payment to CafeBrew
TXN100057,2024-05-25,13:38:05,2024-05-25T13:38:05,226.73,Debit,Health,MediCare,shivap@ybl,Success,Health payment to MediCare
TXN100058,2025-04-17,05:04:37,2025-04-17T05:04:37,1384.03,Debit,Utilities,PowerGrid,merchant@axis,Success,Utilities payment to PowerGrid
TXN100059,2024-11-13,05:43:39,2024-11-13T05:43:39,966.74,Debit,Rent,CityRentals,merchant@axis,Success,Rent payment to CityRentals
TXN100060,2025-05-09,22:15:55,2025-05-09T22:15:55,727.69,Debit,Groceries,BigMart,refund@paytm,Success,Groceries payment to BigMart
TXN100061,2025-09-22,23:37:10,2025-09-22T23:37:10,80.9,Debit,Health,MediCare,merchant@axis,Success,Health payment to MediCare
TXN100062,2024-08-19,02:29:39,2024-08-19T02:29:39,416.18,Debit,Groceries,BigMart,salary@hdfc,Success,Groceries payment to BigMart
TXN100063,2024-09-19,03:06:54,2024-09-19T03:06:54,1566.63,Debit,Education,EduWorld,grocery@icici,Success,Education payment to EduWorld
TXN100064,2025-10-03,23:11:54,2025-10-03T23:11:54,157.24,Debit,Dining,CafeBrew,refund@paytm,Success,Dining payment to CafeBrew
TXN100065,2024-09-26,16:49:25,2024-09-26T16:49:25,464.63,Debit,Travel,QuickFlights,friend1@oksbi,Success,Travel payment to QuickFlights
TXN100066,2024-10-20,05:34:32,2024-10-20T05:34:32,236.21,Debit,Shopping,ShopEasy,salary@hdfc,Success,Shopping payment to ShopEasy
TXN100067,2025-03-03,17:40:17,2025-03-03T17:40:17,98.56,Debit,Shopping,ShopEasy,friend1@oksbi,Success,Shopping payment to ShopEasy
TXN100068,2024-05-13,13:59:05,2024-05-13T13:59:05,168.71,Debit,Groceries,BigMart,refund@paytm,Success,Groceries payment to BigMart
TXN100069,2025-06-23,04:14:15,2025-06-23T04:14:15,681.54,Debit,Travel,QuickFlights,merchant@axis,Success,Travel payment to QuickFlights
TXN100070,2024-03-28,23:33:24,2024-03-28T23:33:24,1887.01,Credit,Refund,SellerX,grocery@icici,Success,Refund payment to SellerX
TXN100071,2025-05-25,09:52:17,2025-05-25T09:52:17,743.94,Debit,Entertainment,MovieHub,shivap@ybl,Success,Entertainment payment to MovieHub
TXN100072,2025-07-11,22:16:04,2025-07-11T22:16:04,1118.81,Debit,Dining,CafeBrew,shivap@ybl,Success,Dining payment to CafeBrew
TXN100073,2025-04-07,09:26:16,2025-04-07T09:26:16,998.6,Debit,Dining,CafeBrew,friend1@oksbi,Success,Dining payment to CafeBrew
TXN100074,2025-03-23,20:14:15,2025-03-23T20:14:15,977.77,Debit,Entertainment,MovieHub,shivap@ybl,Success,Entertainment payment to MovieHub
TXN100075,2025-04-03,23:11:39,2025-04-03T23:11:39,91.23,Debit,Dining,CafeBrew,grocery@icici,Failed,Dining payment to CafeBrew
TXN100076,2024-05-24,12:10:23,2024-05-24T12:10:23,602.53,Debit,Rent,CityRentals,grocery@icici,Success,Rent payment to CityRentals
TXN100077,2024-07-21,19:59:27,2024-07-21T19:59:27,270.15,Debit,Dining,CafeBrew,salary@hdfc,Success,Dining payment to CafeBrew
TXN100078,2024-04-15,11:36:57,2024-04-15T11:36:57,1833.47,Debit,Groceries,BigMart,grocery@icici,Success,Groceries payment to BigMart
TXN100079,2025-05-16,20:26:57,2025-05-16T20:26:57,515.98,Debit,Health,MediCare,refund@paytm,Pending,Health payment to MediCare
TXN100080,2024-07-12,09:57:11,2024-07-12T09:57:11,1507.72,Debit,Rent,CityRentals,grocery@icici,Success,Rent payment to CityRentals
TXN100081,2025-04-24,06:06:32,2025-04-24T06:06:32,1441.46,Debit,Dining,CafeBrew,merchant@axis,Success,Dining payment to CafeBrew
TXN100082,2024-09-01,13:46:37,2024-09-01T13:46:37,967.86,Debit,Groceries,BigMart,refund@paytm,Success,Groceries payment to BigMart
TXN100083,2024-01-18,00:05:35,2024-01-18T00:05:35,998.46,Debit,Health,MediCare,refund@paytm,Success,Health payment to MediCare
TXN100084,2025-05-14,10:49:43,2025-05-14T10:49:43,359.8,Debit,Education,EduWorld,friend1@oksbi,Failed,Education payment to EduWorld
TXN100085,2024-02-13,08:26:15,2024-02-13T08:26:15,1879.94,Debit,Groceries,BigMart,merchant@axis,Success,Groceries payment to BigMart
TXN100086,2025-03-14,01:18:10,2025-03-14T01:18:10,644.44,Debit,Rent,CityRentals,shivap@ybl,Success,Rent payment to CityRentals
TXN100087,2025-05-27,08:01:35,2025-05-27T08:01:35,945.56,Debit,Shopping,ShopEasy,salary@hdfc,Success,Shopping payment to ShopEasy
TXN100088,2024-06-21,03:41:07,2024-06-21T03:41:07,349.94,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100089,2024-12-26,01:06:36,2024-12-26T01:06:36,409.29,Debit,Rent,CityRentals,shivap@ybl,Success,Rent payment to CityRentals
TXN100090,2024-05-22,00:27:54,2024-05-22T00:27:54,125.73,Debit,Groceries,BigMart,refund@paytm,Success,Groceries payment to BigMart
TXN100091,2024-12-21,23:17:50,2024-12-21T23:17:50,1753.63,Debit,Travel,QuickFlights,salary@hdfc,Success,Travel payment to QuickFlights
TXN100092,2024-06-02,14:54:24,2024-06-02T14:54:24,797.95,Debit,Travel,QuickFlights,shivap@ybl,Success,Travel payment to QuickFlights
TXN100093,2024-12-19,19:53:21,2024-12-19T19:53:21,170.91,Debit,Health,MediCare,friend1@oksbi,Success,Health payment to MediCare
TXN100094,2024-07-12,14:57:37,2024-07-12T14:57:37,377.49,Debit,Groceries,BigMart,merchant@axis,Success,Groceries payment to BigMart
TXN100095,2025-09-05,20:50:37,2025-09-05T20:50:37,925.79,Debit,Shopping,ShopEasy,salary@hdfc,Success,Shopping payment to ShopEasy
TXN100096,2024-03-26,00:55:34,2024-03-26T00:55:34,1179.27,Debit,Travel,QuickFlights,friend1@oksbi,Success,Travel payment to QuickFlights
TXN100097,2024-04-10,09:20:32,2024-04-10T09:20:32,237.7,Credit,Salary,AcmeCorp,refund@paytm,Success,Salary payment to AcmeCorp
TXN100098,2025-02-19,01:37:32,2025-02-19T01:37:32,493.41,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100099,2024-12-26,02:22:45,2024-12-26T02:22:45,75.77,Credit,Refund,SellerX,refund@paytm,Success,Refund payment to SellerX
TXN100100,2025-01-12,20:46:59,2025-01-12T20:46:59,955.0,Debit,Utilities,PowerGrid,friend1@oksbi,Failed,Utilities payment to PowerGrid
TXN100101,2025-02-09,04:04:40,2025-02-09T04:04:40,275.4,Debit,Rent,CityRentals,merchant@axis,Success,Rent payment to CityRentals
TXN100102,2024-04-10,23:52:25,2024-04-10T23:52:25,660.68,Credit,Refund,SellerX,salary@hdfc,Success,Refund payment to SellerX
TXN100103,2024-01-08,07:09:53,2024-01-08T07:09:53,2618.97,Credit,Salary,AcmeCorp,shivap@ybl,Success,Salary payment to AcmeCorp
TXN100104,2024-07-30,19:46:00,2024-07-30T19:46:00,231.2,Debit,Dining,CafeBrew,grocery@icici,Success,Dining payment to CafeBrew
TXN100105,2025-05-23,20:53:48,2025-05-23T20:53:48,968.39,Debit,Rent,CityRentals,grocery@icici,Success,Rent payment to CityRentals
TXN100106,2024-04-03,01:32:10,2024-04-03T01:32:10,1332.16,Debit,Utilities,PowerGrid,salary@hdfc,Success,Utilities payment to PowerGrid
TXN100107,2024-05-13,04:45:28,2024-05-13T04:45:28,546.21,Debit,Travel,QuickFlights,salary@hdfc,Pending,Travel payment to QuickFlights
TXN100108,2024-10-22,16:13:05,2024-10-22T16:13:05,1386.55,Debit,Shopping,ShopEasy,shivap@ybl,Success,Shopping payment to ShopEasy
TXN100109,2024-07-04,09:19:45,2024-07-04T09:19:45,870.58,Debit,Shopping,ShopEasy,refund@paytm,Success,Shopping payment to ShopEasy
TXN100110,2024-10-22,09:56:21,2024-10-22T09:56:21,917.06,Debit,Utilities,PowerGrid,friend1@oksbi,Success,Utilities payment to PowerGrid
TXN100111,2024-07-17,05:02:21,2024-07-17T05:02:21,677.84,Debit,Groceries,BigMart,merchant@axis,Success,Groceries payment to BigMart
TXN100112,2025-08-03,20:20:47,2025-08-03T20:20:47,398.53,Debit,Health,MediCare,merchant@axis,Success,Health payment to MediCare
TXN100113,2024-05-01,23:20:40,2024-05-01T23:20:40,2056.68,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100114,2024-08-09,00:46:05,2024-08-09T00:46:05,759.15,Debit,Dining,CafeBrew,grocery@icici,Success,Dining payment to CafeBrew
TXN100115,2025-05-02,23:33:42,2025-05-02T23:33:42,747.95,Debit,Rent,CityRentals,merchant@axis,Success,Rent payment to CityRentals
TXN100116,2025-09-13,23:10:50,2025-09-13T23:10:50,1314.11,Debit,Health,MediCare,grocery@icici,Pending,Health payment to MediCare
TXN100117,2024-01-16,15:59:54,2024-01-16T15:59:54,338.9,Debit,Groceries,BigMart,friend1@oksbi,Success,Groceries payment to BigMart
TXN100118,2024-07-27,03:01:22,2024-07-27T03:01:22,1095.13,Debit,Groceries,BigMart,salary@hdfc,Success,Groceries payment to BigMart
TXN100119,2025-04-04,17:18:06,2025-04-04T17:18:06,357.4,Debit,Rent,CityRentals,refund@paytm,Success,Rent payment to CityRentals
TXN100120,2025-10-07,12:20:07,2025-10-07T12:20:07,98.17,Debit,Travel,QuickFlights,shivap@ybl,Success,Travel payment to QuickFlights
TXN100121,2025-05-24,04:54:24,2025-05-24T04:54:24,1937.36,Debit,Groceries,BigMart,grocery@icici,Success,Groceries payment to BigMart
TXN100122,2024-05-27,19:20:17,2024-05-27T19:20:17,1283.55,Debit,Rent,CityRentals,friend1@oksbi,Success,Rent payment to CityRentals
TXN100123,2025-02-04,02:21:40,2025-02-04T02:21:40,2462.91,Debit,Education,EduWorld,merchant@axis,Success,Education payment to EduWorld
TXN100124,2024-01-23,11:26:00,2024-01-23T11:26:00,2328.68,Debit,Groceries,BigMart,friend1@oksbi,Success,Groceries payment to BigMart
TXN100125,2024-02-13,10:29:04,2024-02-13T10:29:04,525.78,Debit,Utilities,PowerGrid,salary@hdfc,Success,Utilities payment to PowerGrid
TXN100126,2025-01-01,09:11:12,2025-01-01T09:11:12,836.33,Debit,Health,MediCare,shivap@ybl,Success,Health payment to MediCare
TXN100127,2024-03-12,13:51:50,2024-03-12T13:51:50,478.41,Debit,Groceries,BigMart,grocery@icici,Success,Groceries payment to BigMart
TXN100128,2024-07-22,19:31:23,2024-07-22T19:31:23,108.6,Debit,Entertainment,MovieHub,refund@paytm,Failed,Entertainment payment to MovieHub
TXN100129,2025-06-21,12:48:49,2025-06-21T12:48:49,1241.71,Debit,Travel,QuickFlights,salary@hdfc,Success,Travel payment to QuickFlights
TXN100130,2024-04-04,12:28:04,2024-04-04T12:28:04,262.29,Debit,Rent,CityRentals,shivap@ybl,Success,Rent payment to CityRentals
TXN100131,2024-07-17,20:47:17,2024-07-17T20:47:17,1280.96,Debit,Groceries,BigMart,grocery@icici,Success,Groceries payment to BigMart
TXN100132,2025-05-18,13:02:59,2025-05-18T13:02:59,20.42,Credit,Salary,AcmeCorp,merchant@axis,Success,Salary payment to AcmeCorp
TXN100133,2025-08-11,02:58:02,2025-08-11T02:58:02,421.7,Debit,Groceries,BigMart,refund@paytm,Failed,Groceries payment to BigMart
TXN100134,2024-09-16,02:06:06,2024-09-16T02:06:06,565.16,Debit,Shopping,ShopEasy,grocery@icici,Success,Shopping payment to ShopEasy
TXN100135,2025-05-27,23:34:04,2025-05-27T23:34:04,177.7,Debit,Rent,CityRentals,friend1@oksbi,Pending,Rent payment to CityRentals
TXN100136,2024-08-05,06:01:12,2024-08-05T06:01:12,981.15,Debit,Education,EduWorld,salary@hdfc,Pending,Education payment to EduWorld
TXN100137,2025-07-25,00:47:57,2025-07-25T00:47:57,376.22,Debit,Groceries,BigMart,friend1@oksbi,Success,Groceries payment to BigMart
TXN100138,2025-09-23,23:15:17,2025-09-23T23:15:17,564.58,Debit,Dining,CafeBrew,friend1@oksbi,Success,Dining payment to CafeBrew
TXN100139,2024-09-05,02:43:00,2024-09-05T02:43:00,1517.44,Debit,Shopping,ShopEasy,shivap@ybl,Success,Shopping payment to ShopEasy
TXN100140,2025-05-14,11:01:07,2025-05-14T11:01:07,192.48,Debit,Dining,CafeBrew,friend1@oksbi,Success,Dining payment to CafeBrew
TXN100141,2025-08-09,17:04:12,2025-08-09T17:04:12,281.68,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100142,2025-06-20,22:02:37,2025-06-20T22:02:37,956.84,Debit,Entertainment,MovieHub,shivap@ybl,Success,Entertainment payment to MovieHub
TXN100143,2024-01-21,06:15:03,2024-01-21T06:15:03,743.3,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100144,2025-04-07,01:21:35,2025-04-07T01:21:35,446.77,Debit,Groceries,BigMart,friend1@oksbi,Success,Groceries payment to BigMart
TXN100145,2025-09-13,07:37:39,2025-09-13T07:37:39,121.29,Debit,Groceries,BigMart,grocery@icici,Success,Groceries payment to BigMart
TXN100146,2024-10-02,16:02:20,2024-10-02T16:02:20,703.72,Debit,Dining,CafeBrew,grocery@icici,Success,Dining payment to CafeBrew
TXN100147,2025-04-12,15:57:51,2025-04-12T15:57:51,540.03,Debit,Groceries,BigMart,refund@paytm,Pending,Groceries payment to BigMart
TXN100148,2025-08-03,01:16:59,2025-08-03T01:16:59,1711.64,Credit,Travel,QuickFlights,grocery@icici,Pending,Travel payment to QuickFlights
TXN100149,2025-06-16,13:33:34,2025-06-16T13:33:34,272.35,Credit,Utilities,PowerGrid,grocery@icici,Success,Utilities payment to PowerGrid
TXN100150,2025-07-09,02:30:39,2025-07-09T02:30:39,551.19,Debit,Travel,QuickFlights,salary@hdfc,Success,Travel payment to QuickFlights
TXN100151,2024-03-05,08:27:18,2024-03-05T08:27:18,904.34,Debit,Shopping,ShopEasy,refund@paytm,Success,Shopping payment to ShopEasy
TXN100152,2024-06-14,14:12:58,2024-06-14T14:12:58,297.34,Debit,Travel,QuickFlights,grocery@icici,Failed,Travel payment to QuickFlights
TXN100153,2024-10-13,07:56:24,2024-10-13T07:56:24,1997.63,Debit,Health,MediCare,grocery@icici,Success,Health payment to MediCare
TXN100154,2024-06-03,11:11:42,2024-06-03T11:11:42,83.48,Debit,Rent,CityRentals,friend1@oksbi,Success,Rent payment to CityRentals
TXN100155,2025-06-19,02:12:46,2025-06-19T02:12:46,384.51,Debit,Shopping,ShopEasy,merchant@axis,Failed,Shopping payment to ShopEasy
TXN100156,2025-01-02,23:02:14,2025-01-02T23:02:14,1635.16,Debit,Education,EduWorld,refund@paytm,Success,Education payment to EduWorld
TXN100157,2025-07-17,16:57:31,2025-07-17T16:57:31,1675.85,Debit,Rent,CityRentals,salary@hdfc,Success,Rent payment to CityRentals
TXN100158,2025-08-26,14:46:15,2025-08-26T14:46:15,2052.92,Debit,Rent,CityRentals,merchant@axis,Success,Rent payment to CityRentals
TXN100159,2024-08-20,22:03:45,2024-08-20T22:03:45,426.05,Debit,Shopping,ShopEasy,merchant@axis,Success,Shopping payment to ShopEasy
TXN100160,2025-02-08,10:36:33,2025-02-08T10:36:33,2315.27,Debit,Groceries,BigMart,friend1@oksbi,Success,Groceries payment to BigMart
TXN100161,2025-06-23,08:28:28,2025-06-23T08:28:28,586.14,Debit,Utilities,PowerGrid,shivap@ybl,Success,Utilities payment to PowerGrid
TXN100162,2024-01-14,22:39:27,2024-01-14T22:39:27,1921.55,Debit,Groceries,BigMart,merchant@axis,Success,Groceries payment to BigMart
TXN100163,2024-04-13,15:16:34,2024-04-13T15:16:34,262.57,Debit,Shopping,ShopEasy,shivap@ybl,Success,Shopping payment to ShopEasy
TXN100164,2025-09-26,13:02:12,2025-09-26T13:02:12,629.15,Debit,Dining,CafeBrew,salary@hdfc,Success,Dining payment to CafeBrew
TXN100165,2024-10-05,20:59:19,2024-10-05T20:59:19,762.64,Debit,Education,EduWorld,refund@paytm,Success,Education payment to EduWorld
TXN100166,2025-05-05,10:09:45,2025-05-05T10:09:45,303.22,Debit,Utilities,PowerGrid,friend1@oksbi,Success,Utilities payment to PowerGrid
TXN100167,2025-02-06,10:13:58,2025-02-06T10:13:58,579.18,Debit,Health,MediCare,shivap@ybl,Success,Health payment to MediCare
TXN100168,2024-04-13,15:36:38,2024-04-13T15:36:38,347.23,Debit,Shopping,ShopEasy,shivap@ybl,Pending,Shopping payment to ShopEasy
TXN100169,2024-05-31,07:23:53,2024-05-31T07:23:53,549.86,Debit,Rent,CityRentals,merchant@axis,Failed,Rent payment to CityRentals
TXN100170,2025-05-26,08:17:33,2025-05-26T08:17:33,618.2,Debit,Groceries,BigMart,salary@hdfc,Success,Groceries payment to BigMart
TXN100171,2025-02-02,02:14:53,2025-02-02T02:14:53,656.0,Debit,Rent,CityRentals,salary@hdfc,Success,Rent payment to CityRentals
TXN100172,2025-03-02,13:13:15,2025-03-02T13:13:15,1591.85,Debit,Groceries,BigMart,friend1@oksbi,Success,Groceries payment to BigMart
TXN100173,2024-06-03,20:19:23,2024-06-03T20:19:23,1597.82,Debit,Dining,CafeBrew,grocery@icici,Success,Dining payment to CafeBrew
TXN100174,2025-09-25,07:17:17,2025-09-25T07:17:17,205.26,Debit,Utilities,PowerGrid,friend1@oksbi,Success,Utilities payment to PowerGrid
TXN100175,2024-11-04,13:14:05,2024-11-04T13:14:05,291.52,Debit,Groceries,BigMart,grocery@icici,Success,Groceries payment to BigMart
TXN100176,2024-08-26,22:26:00,2024-08-26T22:26:00,553.21,Credit,Refund,SellerX,refund@paytm,Success,Refund payment to SellerX
TXN100177,2025-06-11,17:49:14,2025-06-11T17:49:14,113.0,Debit,Entertainment,MovieHub,merchant@axis,Success,Entertainment payment to MovieHub
TXN100178,2025-02-09,05:39:38,2025-02-09T05:39:38,2472.11,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100179,2025-01-30,09:55:07,2025-01-30T09:55:07,179.98,Debit,Entertainment,MovieHub,salary@hdfc,Pending,Entertainment payment to MovieHub
TXN100180,2025-08-03,04:16:45,2025-08-03T04:16:45,1036.71,Debit,Shopping,ShopEasy,salary@hdfc,Pending,Shopping payment to ShopEasy
TXN100181,2025-01-16,23:38:08,2025-01-16T23:38:08,991.96,Credit,Education,EduWorld,shivap@ybl,Success,Education payment to EduWorld
TXN100182,2024-08-01,04:47:01,2024-08-01T04:47:01,1950.38,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100183,2025-05-03,01:13:49,2025-05-03T01:13:49,115.54,Debit,Groceries,BigMart,grocery@icici,Success,Groceries payment to BigMart
TXN100184,2024-02-06,20:54:20,2024-02-06T20:54:20,939.75,Debit,Shopping,ShopEasy,salary@hdfc,Success,Shopping payment to ShopEasy
TXN100185,2025-05-08,16:00:07,2025-05-08T16:00:07,299.2,Debit,Shopping,ShopEasy,merchant@axis,Success,Shopping payment to ShopEasy
TXN100186,2024-11-01,12:47:10,2024-11-01T12:47:10,1175.14,Debit,Rent,CityRentals,shivap@ybl,Success,Rent payment to CityRentals
